"Date and Time","Date and Time","Short Course Description","Body","Title"
"April 5, 2011 - 7:00pm","April 5, 2011 - 9:00pm","A chance to begin learning the super exciting Yiddish language!"," A serious and fun class, to learn Yiddish, a serious and fun language.  That’s right.  Yiddish is a full language, not just a collection of silly words to make you look cute (though it helps.)  Its got its own alphabet, grammar, vocabulary and rhythm.  It is a national language for Jews, but has no affiliation with any state (well, except for the Soviet Union, and still Russia, and maybe we'll get the chance to talk about that episode.)
This will be a fairly formal class, using elements from a textbook, doing grammar exercises, practicing conversations, memorizing song lyrics, writing our own literature - And then… by the fourth week of August, when Yiddish speakers gather from all over the country for a whole week of Yiddish-speaking community in Reiserstown, you’ll be ready to go meet them, hang out and shmoozn!  This class is designed to meet for 8 consecutive Tuesday evenings, so please be prepared to make that commitment.  I would even like to continue the process through August so we can really be ready for all the good Yiddish which will be up in Reiserstown.  There’s a lot of really exciting Yiddish here in Baltimore already, so the class may include guest speakers and field trips.
This course has no prerequisites, but if you have a familiarity with the Hebrew alphabet and a Germanic language (say, English for example,) you'll have a good head start.","Beginning Yiddish"
"March 14, 2011 - 7:00pm","March 14, 2011 - 9:00pm","European Governmental Institutions, Political Parties, and Comparative Thoughts","We will examine 5 Western European counties: Great Britain, France, Germany, Italy, and Sweden (also Russia and Norway if there is significant interest).  We will look at the broad histories of these countries to get an understanding of why their governments are the way they are today.  We will then examine the political economies, organization of the states, legislatures, and political parties.  Lastly, we will take on a comparativist approach with these countries.
The book we will use: “European Politics in Transition” 6th Edition Revised.  Authored by Mark Kesselman and Joel Krieger.  Obtaining this book is not a necessity but is highly encouraged.
My teaching style will include the use of a blackboard (if one is available), Powerpoint will be used to highlight important topics, and most importantly, this will be a discussion.","European Institutions and Politics"
"May 21, 2011 - 2:00pm","May 21, 2011 - 3:30pm","Improvise with other musicians and actors. Record poems with music. 2:00-3:30 PM, one Saturday a month.","In this course, we perform a poem with music, and record it. We are a group of actors and musicians called Parallel Octave (http://paralleloctave.wordpress.com) seeking new collaborators. We work on choruses -- poems read and sung by multiple voices, and performed to improvised music. Past poets have included Blake, Auden, Donne, Frost, Dylan Thomas, and others. 
Our weekly sessions are open to all Baltimore actors, singers, and musicians who are interested in experimentation. We meet one Saturday a month to work on a different poem,
from 2:00-3:30 pm, in the Blue Room.
You can listen to some of the recordings we've made already here:http://paralleloctave.wordpress.com/recordings.html
or read this article on Parallel Octave in CityPaper:http://thetimes-tribune.com/cmlink/baltimore-city-paper/music/all-together-now-1.939200
The course is ongoing, with occasional breaks. Participants in the course are welcome to come and go as they please: we want to accomodate artists with schedule conflicts, and keep an open door for all performers to come in. Bring your instruments and your ideas. You must be comfortable with having the session recorded and shared in order to attend.
 
For more information, contact us: (paralleloctave AT g m a i l )
Instructor Bio: Dara Weinberg (http://weinberg.wordpress.com/about/) has been directing Greek choruses for ten years and teaching chorus performance workshops for actors and musicians on choral improvisation for the past five. In Baltimore, she's taught Greek chorus workshops at JHU, Goucher, the Carver Center High School, and the Single Carrot Theater.","Parallel Octave chorus: musical/poetic improvisation"
"March 16, 2011 - 8:30pm","March 16, 2011 - 10:30pm","Our Monthly Pub Quiz Fundraiser","The Free School believes that we  all have something to teach and learn,  but if you're especially thirsty  to show how much you know, come on  out to the Wind Up Space for our  monthly Trivia Night fundraiser.
Only $5 (per person) gets you in the  game as you and your friends put  your heads together to compete for  fabulous prizes (and we do mean  fabulous!) while enjoying some  refreshing drinks. The trivia will be  general interest and ......for all  experience levels, but challenging  enough to keep even the trivia pros  on their toes.
All proceeds will be put towards the Free School's  operating costs to  provide a free educational space for Baltimore  residents. What better  way to both benefit a local community project AND  show everyone what a  smartypants you are?!
Registration starts at 8, Trivia commences at 8:30.
Bring your friends to compete as a team of up to 5 people.","Trivia Night!"
"April 23, 2011 - 2:00pm","April 23, 2011 - 3:30pm","Open Yoga class encompassing all limbs of the yoga practice including posture, breathing, meditation, sanskrit, and philosophy.","About the class:
Come enjoy a yoga class traditionally taught based on the ancient limbs of yoga. Learn about the whole practice that has been lost in its translation to western society and realize it's much more than just a workout for the physical body. Classes will begin with a sadhana practice including pranayama (breath techniques) and dhyana (meditation) followed by asana (postures) where philosophy and sanskrit will be actively taught through the class. Each class will introduce a blend of ancient and evolved practices including, hatha, vinyasa, acroyoga (partner yoga) and many more. Come and have fun with an open heart to learn an ancient philosophy in an active environment. Students can give input as to what they enjoy and want to learn to cater each class for what students are open to learn.
 
About the teacher:
Michaela received her 200 hr yoga teacher certification under the instruction of Baba Hari Dass and his senior teachers at Mount Madonna Institute in 2010. Baba Hari Dass is an Indian yogi who has observed silence since the 1950's. With the help of his senior teachers and chalk board Babaji opens the eyes of yoga practitioners to share his all-encompassing knowledge of yoga in western society where the limbs beyond posture are easily overlooked. Michaela has been practicing yoga for 4 years in many styles and disciplines. She is an active yogi, biker, nomad, outdoors enthusiast, farmer, and natural builder who believes yoga should be accessible to all.
Work honestly, meditate everyday, meet people without fear, and play. ~Baba Hari Dass","Yoga"
"May 2, 2011 - 7:00pm","May 2, 2011 - 11:00pm","Share your own game designs to receive quality feedback and suggestions to make them better.","Gamers, UNITE!!
Bring your favorites with you, and bring your own prototypes! We're big on playtesting games you have in the works as well as playing the professionally-published games we know and love. Board games, card games, RPGs, party games...we welcome it all.
Have a new version of a game you've been working on? We'll be able to give you constructive feedback on your current version so you can make it better.  New playtesters: our feedback process is incredibly easy, and draws on the knowledge and experience you already have with games (even if you feel it's very little).
Please bring a snack to share/drink to share/contribution for the Free School ($2 - $3) if you're able!
This meeting is hosted by the Baltimore Tabletop Game Designers...find us on Facebook!","Tabletop Game Designer's Workshop"
"June 6, 2011 - 7:00pm","June 6, 2011 - 11:00pm","Play your favorite board games, and/or bring in your own game designs for playtesting, feedback, and improvement.","Gamers, UNITE!!!
Bring your favorites with you, and bring your own prototypes! We're big on playtesting games you have in the works as well as playing the professionally-published games we know and love. Board games, card games, RPGs, party games...we welcome it all.
Have a new version of a game you've been working on? We'll be able to give you constructive feedback on your current version so you can make it better.
New playtesters: our feedback process is incredibly easy, and draws on the knowledge and experience you already have with games (even if you feel it's very little).
Please bring a snack to share/drink to share/contribution for the Free School ($2 - $3) if you're able!
This meeting is hosted by the Baltimore Tabletop Game Designers...find us on Facebook!","Tabletop Game Designer's Work Shop"
"April 30, 2011 - 1:00pm","April 30, 2011 - 7:00pm","Intensive seminar with anticapitalist feminist Silvia Federici","Join us for a one-day intensive seminar exploring the intersections of anti-capitalist and anti-patriarchal theory and practice with renowned autonomist feminist Silvia Federici, author of Caliban and the Witch: Women, the Body and Primitive Accumulation.  We're still formulating the exact trajectory of the seminar, but you can be sure it'll cover radical history from below, the politics of affective labor, practices of ""commoning,"" and a critical position tracing the dimensions of existing struggles against the violence of global capitalism.
We'll also (hopefully) be joined by George Caffentzis, radical scholar of the commons, energy politics, and the crisis in the edu-factory.
Please head over to our crabgrass page for the seminar for updates, suggested readings, and discussion.","Seminar: Silvia Federici on ""Feminism, the Commons, neoliberal violence and the edu-crisis"" (w/ George Caffentzis)"
"April 23, 2011 - 2:00pm","April 23, 2011 - 3:30pm","Improvise with other musicians and actors. Record poems with music. 2:00-3:30 PM, one Saturday a month.","In this course, we perform a poem with music, and record it. We are a group of actors and musicians called Parallel Octave (http://paralleloctave.wordpress.com)   seeking new collaborators. We work on choruses -- poems read and sung   by multiple voices, and performed to improvised music. Past poets have  included Blake, Auden, Donne, Frost, Dylan Thomas, and others.
Our weekly sessions are open to all Baltimore actors, singers, and   musicians who are interested in experimentation. We meet one Saturday a  month to work on a different poem,
from 2:00-3:30 pm, in the Blue Room.
You can listen to some of the recordings we've made already here:http://paralleloctave.wordpress.com/recordings.html
or read this article on Parallel Octave  in CityPaper:http://thetimes-tribune.com/cmlink/baltimore-city-paper/music/all-together-now-1.939200
The course is ongoing, with occasional breaks. Participants in the  course are welcome to come and go as they please: we want to accomodate  artists with schedule conflicts, and keep an open door for all  performers to come in. Bring your instruments and your ideas. You must  be comfortable with having the session recorded and shared  in order to  attend.
 
For more information, contact us: (paralleloctave AT g m a i l )
Instructor Bio: Dara Weinberg (http://weinberg.wordpress.com/about/)  has been directing Greek choruses for ten years and teaching chorus  performance workshops for actors and musicians on choral improvisation  for the past five. In Baltimore, she's taught Greek chorus workshops at  JHU, Goucher, the Carver Center High School, and the Single Carrot  Theater.","Parallel Octave chorus: musical/poetic improvisation"
"April 2, 2011 - 10:30am","April 2, 2011 - 11:15am","How to thrive andsurvive Despite your famailial or educational background","This course is to designed to help you make descisions about everything from the mundane to supercomplicated based on you your family background and experiences and your education. It is taught in a way that will be non-intrusive and is dependent on the students' honesty of what they seek to accomplish in their lives, despite their carved -in -stone indicies which will consist of their upbringing and other familiar background and their formal and informal education. The teacher, Dr. Yolanda White, is a Princeton University graduate and wrote a thesis on this subject under the aegis of an extremely gifted now deceased Professor, named Professor Manfred Halperin. New pedagogic methods will be used  like role playing and simulations. Primarily, however, the teacher will ask them for a hypothesis about their lives guided by the teacher throughout the course. Texts used come her own undergraduate thesis and the art of questioning developed by Plato, Aristotle, and political theorists like Rousseu and Hobbes.
After taking this course, students are guranteed a more sucessful way of dealing with  routine and novelty, and will have new breath infused with how to negotiate the Diapora called Baltimore City.
 ","Personal and Political Transformation in the Urban Diaspora"
"April 12, 2011 - 10:30am","April 12, 2011 - 11:15am","How to thrive andsurvive Despite your famailial or educational background","This course is to designed to help you make descisions about everything from the mundane to supercomplicated based on you your family background and experiences and your education. It is taught in a way that will be non-intrusive and is dependent on the students' honesty of what they seek to accomplish in their lives, despite their carved -in -stone indicies which will consist of their upbringing and other familiar background and their formal and informal education. The teacher, Dr. Yolanda White, is a Princeton University graduate and wrote a thesis on this subject under the aegis of an extremely gifted now deceased Professor, named Professor Manfred Halperin. New pedagogic methods will be used  like role playing and simulations. Primarily, however, the teacher will ask them for a hypothesis about their lives guided by the teacher throughout the course. Texts used come her own undergraduate thesis and the art of questioning developed by Plato, Aristotle, and political theorists like Rousseu and Hobbes.
After taking this course, students are guranteed a more sucessful way of dealing with  routine and novelty, and will have new breath infused with how to negotiate the Diapora called Baltimore City.
 ","Personal and Political Transformation in the Urban Diaspora"
"September 5, 2011 - 7:00pm","September 5, 2011 - 7:45pm","How to thrive and survive despite your familial or educational background","This course is to designed to help you make descisions about everything from the mundane to super complicated based on you your family background and experiences and your education. It is taught in a way that will be non-intrusive and is dependent on the students' honesty of what they seek to accomplish in their lives, despite their carved -in -stone indicies which will consist of their upbringing and other familiar background and their formal and informal education. The teacher, Dr. Yolanda White, is a Princeton University graduate and wrote a thesis on this subject under the aegis of an extremely gifted now deceased Professor, named Professor Manfred Halperin. New pedagogic methods will be used  like role playing and simulations. Primarily, however, the teacher will ask them for a hypothesis about their lives guided by the teacher throughout the course. Texts used come her own undergraduate thesis and the art of questioning developed by Plato, Aristotle, and political theorists like Rousseu and Hobbes.
After taking this course, students are guranteed a more sucessful way of dealing with  routine and novelty, and will have new breath infused with how to negotiate the Diapora called Baltimore City.
 ","Personal and Political Transformation in the Urban Diaspora"
"April 21, 2011 - 7:00pm","April 21, 2011 - 11:00pm","Share your own game designs to receive quality feedback and suggestions to make them better.","Gamers, UNITE!!
Bring your favorites with you, and bring your own prototypes! We're  big on playtesting games you have in the works as well as playing the  professionally-published games we know and love. Board games, card  games, RPGs, party games...we welcome it all.
Have a new version of a game you've been working on? We'll be able to  give you constructive feedback on your current version so you can make  it better.  New playtesters: our feedback process is incredibly easy,  and draws on the knowledge and experience you already have with games  (even if you feel it's very little).
Please bring a snack to share/drink to share/contribution for the Free School ($2 - $3) if you're able!
This meeting is hosted by the Baltimore Tabletop Game Designers...find us on Facebook!","Tabletop Game Designer's Workshop"
"April 20, 2011 - 8:30pm","April 20, 2011 - 10:30pm","Our Monthly Pub Quiz Fundraiser","The Free School believes that we  all have something to teach and learn,   but if you're especially thirsty  to show how much you know, come on   out to the Wind Up Space for our  monthly Trivia Night fundraiser.
Only $5 (per person) gets you in the  game as you and your friends put   your heads together to compete for  fabulous prizes (and we do mean   fabulous!) while enjoying some  refreshing drinks. The trivia will be   general interest and ......for all  experience levels, but challenging   enough to keep even the trivia pros  on their toes.
All proceeds will be put towards the Free School's  operating costs to   provide a free educational space for Baltimore  residents. What better   way to both benefit a local community project AND  show everyone what a   smartypants you are?!
Registration starts at 8, Trivia commences at 8:30.
Bring your friends to compete as a team of up to 5 people.","Trivia Night!"
"May 1, 2011 - 1:00pm","May 1, 2011 - 3:00pm","Combining Philosophy and English to improve student/teachers' thinking and writing skills.","This course is for anyone who is interested in the creative process. From the inception of 'the idea', to the 'putting it down on paper', we will, together, learn how to improve our thinking and our writing skills.
My role will be one of facilitator. (It is my belief that we are all student/teachers AND philosophers.)
We will use written material from my website, philosophylee.com, to generate initial discussion.
Please call me (443-602-5410) for ANY further explanation/information.
Thank you for your consideration.
Sincerely, Lee
 ","Creative Thinking (For Creative Writers)"
"April 4, 2011 - 7:00pm","April 4, 2011 - 9:00pm","Portuguese as Foreign Language Class"," 
Heya,
Come learn Portuguese and some other things about the much ignored Lusophone world.
This should be fun. There will be lots of stories, linguistics, miscommunications, music, stumbles, and probably some learning. 
I will have a feel for the first class by seeing what you guys are expecting from such a class.","Aula da Língua Portuguesa"
"April 17, 2011 - 12:00pm","April 17, 2011 - 4:00pm","A charity homebrew competition and chili cookoff to benefit the Velocipede Bike Project and the Baltimore Free School!","WHEN: April 17th, 2011, noon to 4pm
WHERE: Baltimore Free Farm, 3510 Ash Street, Baltimore 21211
WEBSITE: bmorecharmin.intuitwebsites.com/index.html
 
It's  time for another celebration of the DIY spirit!  Brought to you by the  BaltiBrew homebrew club and Baltimore Free Farm, the Charitably Charmin'  ChiliBrew is a charity homebrew competition and chili cookoff to  benefit the Velocipede Bike Project and the Baltimore Free School.  Our  second installment drew roughly 200 attendees and 30 entries last  October as part of Baltimore Beer Week.
The  ChiliBrew is all about the wonderful things that we can do for  ourselves, locally, and for our third round we'll be part of a larger  event dedicated to all that good stuff.  ""Localize It!"" will be an  outdoor block party in Hampden hosted by the Free Farm on April 17th.   Besides featuring the ChiliBrew, it will be a release event for the  BNote (the new Baltimore local currency), and will include acoustic  music, crafts tables, gardening workshops, and who knows what else by  the time Free Farm is finished with it.
Anyone  can compete, anyone can judge!  Just looking for a good time with good  food/brews/all of the above?  Come on out!  Got a killer family chili  recipe or brew your own beer?  Bring it on!  Involved with some other  hobby or organization that Does It Together, here in Baltimore?  Share  the love!  We want to bring people interested in all aspects of local  lifestyles together to cross-pollinate and build community.
We're  asking for a $10-20 suggested donation from those who partake of the  ChiliBrew.  That'll get you a ballot to vote on any or all of the  competitions (chili con carne, veggie chili, and homebrew, though you  must be 21 or older for homebrew of course).  If you weigh in on the  upper half of that sliding scale we'll also give you a commemorative  glass (several styles available).
Check  out the Rules and Entry Form for competitors, accessible from the top  of this page.  There is no deadline to declare your participation, but  it'd be a pity to walk on with a pot of awesome chili only to find that  we didn't have room for you.  So don't delay!  Any questions?  Email us  -> bmorecharmin@gmail.com
 
Related links: (click name to access link)
Free Farm 
BaltiBrew 
Velocipede 
Free School 
BNote 
ChiliBrew Too! 
 
 
 ","Charitable Charmin' ChilBrew @ the  Baltimore Free Farm!"
"April 13, 2011 - 7:00pm","April 13, 2011 - 10:00pm","The session is open to all persons interested in applying for a RAF grant in the current grant cycle (application deadline April 21)."," On Wednesday, April 13, at 7:00 p.m., Research Associates Foundation
(RAF) will hold an information session at the Baltimore Free School,
1323 N. Calvert. Street, Baltimore 21202.
 The session is open to all persons interested in applying for a small
grant in the current grant cycle (application deadline April 21).
During the session, we will review the application process and address
questions and concerns.  The revised grant application and guidelines
are available at [1]www.rafbaltimore.org.
 RAF encourages Baltimore area activists to apply for one of our small
grants. Ranging from $500 - $2500, the grants will be awarded to
individuals and organizations that can be described as ""left-leaning,""
""progressive,"" 'transformative,"" ""social change oriented,"" etc.  Both
individuals and organizations can apply. Please note that we do NOT
provide grants for organizations or projects whose main focus is to
provide services.  Rather, we are interested in funding organizations
and projects whose primary emphasis is on research, organizing and/or
action for social change in Baltimore.
 You can also send your questions to [2]info@rafbaltimore.org
 References
  1. http://www.rafbaltimore.org/
  2. mailto:info@rafbaltimore.org","Research Associates Foundation (RAF) Information Session"
"June 5, 2011 - 7:00pm","June 5, 2011 - 10:00pm","We will study the context of each film we choose based on a ""big-idea"" topic to discuss, watch a new film (or several short films) each week, and open discussion to wherever it leads."," 
Come watch along and tell us what you think! We'll be learning the context of these films, seeing them unfold, and then discussing anything and everything relevant and irrelevant!","Cinema Surreal"
"October 1, 2011 - 10:30am","October 1, 2011 - 12:00pm","A reading group for Rawls' ""A Theory of Justice""","The reading group, ""John Rawls and Modern Theories of Justice"", will center on the analytic theories of law and social justice that derive from his famous and now seminal book ""A Theory of Justice."" In that book Rawls puts forth a theory of institutional social justice, that rather than deriving its foundation from Marxist and socialist streams of thought, comes from his studies of game theory, law and language. The book is arguably one of the most important works of political and legal philosophy of the 20th century, inspiring a great deal of later thought in such important thinkers as Amaryta Sen and Joseph Raz.  The book is however, extremely long and extremely dense, and therefore, quite difficult to read. In this course I will guide the group through the text with discussions of its main theoretical lines and with readings about its application to real world legal and economic problems.","John Rawls and Modern Theories of Justice"
"June 22, 2011 - 7:00pm","June 22, 2011 - 8:00pm","Introduction to Dante's Inferno","The course will go through Dante's Inferno canto by canto (read ""chapter by chapter"") using a variety of translations and accompanying texts.","Dante's Inferno"
"May 28, 2011 - 4:00pm","May 28, 2011 - 5:00pm","Help us make this space possible!","Come by our monthly open meeting if you've got questions, ideas, want to help run/promote/support/maintain the free school with us, or are just curious about what we're doing and how.","Free School Assembly"
"April 30, 2011 - 8:00pm","May 1, 2011 - 7:00am","The 2nd annual all-night music and multi-media festival, The Vigil, outdoors at Maryland Institute College of Art. FREE EVENT!","Check out the Baltimore Free School's own SOUND COMPOSITION WORKSHOP at The Vigil!
Celebrate the coming of spring at the 2nd annual all-night music and multi-media festival, The Vigil, outdoors at Maryland Institute College of Art. FREE EVENT!
 
Four soundsystems surrounding the Cohen Plaza will weave together overlapping performances by artists including the Purple City Players, Out Of Your Head collective, jason.sloan, Hermit In The Corner, DJ Dubble8, (i), Chang Park, Kid EXP, Magnetic Goat, Wendel Patrick, Peter Brown, Soundscape Composition Workshop (Baltimore Free School), Sound Art class (MICA), and other special guests TBA...
Student video pieces will be projected on the side of MICA's Brown Center, while hidden sound installations may be discovered in various nooks and crannies.
 
Saturday, April 30th 8 pm - 7 am
Cohen Plaza
1303 W Mount Royal Avenue
 
 ","The Vigil All Night Music Festival featuring BFS Sound Composition Workshop!!"
"October 22, 2011 - 1:00pm","October 22, 2011 - 3:30pm","In this two and a half hour class you will learn how to use the body's natural stress-reduction system which uses the vagus nerve. In all, you wll learn four simple techniques that, when used following one another, will prove to be one of the most rejuvenating and cleansing experiences you will ever have.","Are you stressed? Do you suffer chronic fatigue, conditions that your doctor cannot diagnose or that he thinks are “all in your head”? Are you in physical pain more often than not? Is your system toxified from living in today’s polluted environment? Do you wish you could face life’s challenges with greater calm and peace of mind? Would you like to actually feel healthy, happy and pain-free every day?
“Introducing Éiriú Eolas (pronounced “AIR-oo OH-lahss”), the amazing scientific stress-control, healing, detoxing and rejuvenation program which is THE KEY that will help you to change your life in a REAL and immediately noticeable way:
Proven benefits of the Éiriú Eolas Program include:
* instantly control stress in high energy situations
* detox your body resulting in pain relief
* relax and gently work through emotional blockages
* regenerate and rejuvenate your body/mind.
Éiriú Eolas will enable you to rapidly and gently access and release layers of mental, emotional and physical toxicity that stand between you and a healthy, younger feeling and younger looking body!”
The Éiriú Eolas technique grew out of research under the direction of Laura Knight-Jadczyk and Gabriela Segura, M.D. The practice has been thoroughly researched and proven to work by the thousands of people who are already benefiting from this unique program. The effects are cumulative and results and benefits can be seen in only a very short time, sometimes after just one session!
In the first hour of the class, you will learn the techniques and practice them. In the second hour, you will use the techniques in a whole sesssion and experience their full effects.
 ","Éiriú Eolas: Stress Relief and Rejuvenation through Breath"
"June 29, 2011 - 7:00pm","June 29, 2011 - 9:00pm","A reading group for women and trans/gender non-conforming folks on sex, race, and class.","Please note: meetings will be closed to cismen (male-assigned, male-identified).                                
Feminist and queer politics have always been accused of detracting from the real class struggle. Rejecting this notion, our reading group will start from the premise that feminist and queer politics implies a class and race analysis, and will consider the annihilation of capitalism from the standpoint of those accused of prolonging its life. Some questions we will think about: How are patriarchy, white supremacy, and capitalism linked? How is sexual difference inseparable from the way labour and its products are organized, appropriated, and consumed? What role does sexual violence play in keeping capitalism going? What counts as a revolutionary class, or a revolutionary politics? How are sexual and social reproduction conceptualized, or erased, when capitalism is narrowly defined as an economic system?
Our readings will include academic and non-academic texts, and are very open to modification from participants – no background in feminist or queer theory necessary.
CONTACT: BMOREREADINGGROUP@GMAIL.COM
 ","WOMEN/TRANS READING GROUP"
"April 27, 2011 - 7:00pm","April 27, 2011 - 8:00pm","Private - One time class to follow up on discussion from 4/25 talk","Private - One time class to follow up on discussion from 4/25 at Red Emma's. The purpose is to provide a safe space where interested individuals can share their experience w/ mental illness and support each other. Not intended to be a professional level service as it will not be led by licensed or certified counselors or therapists.","Capitalism & Mental Health  *Private Meeting*"
"May 26, 2011 - 7:00pm","May 26, 2011 - 11:00pm","Tabletop Game Designer's Workshop","","Tabletop Game Designer's Workshop"
"May 18, 2011 - 7:30pm","May 18, 2011 - 8:00pm","One-Year Anniversary of Our Monthly Pub Quiz Fundraiser","To celebrate a year of Trivia Nights, we're holding our SuperMegaChampionship trivia tournament this May!
Same game and rules, but we'll start at 8:00, a half-hour earlier. We'll also have super awesome TBA prizes to give away. Anyone is welcome to play, but we're especially hoping our current and former regular teams will join us. There are some scores to settle.
After Trivia, stay for the Baltimore Tabletop Game Designers for more friendly competition over your favorite board and table games, both old and new!
 
The Free School believes that we  all have something to teach and learn,   but if you're especially thirsty  to show how much you know, come on   out to the Wind Up Space for our  monthly Trivia Night fundraiser.
Only $5 (per person) gets you in the  game as you and your friends put   your heads together to compete for  fabulous prizes (and we do mean   fabulous!) while enjoying some  refreshing drinks. The trivia will be   general interest and ......for all  experience levels, but challenging   enough to keep even the trivia pros  on their toes.
All proceeds will be put towards the Free School's  operating costs to   provide a free educational space for Baltimore  residents. What better   way to both benefit a local community project AND  show everyone what a   smartypants you are?!
Registration starts at 7:30, Trivia commences at 8:00.
Bring your friends to compete as a team of up to 5 people.","Trivia Night! SuperMegaChampionship"
"September 4, 2011 - 12:00am","September 4, 2011 - 2:00am","A support Community for those touched by incarceration","The Other Side of the Glass
www.innocentsupport.blogspot.com/
The Other Side of the Glass is a living breathing support community for anyone who is a support to the positive growth of   our incarcerated society. It is our mission to provide Support,   Assistance, Fellowship, and Education. Using the strength of our unity   to our advantage we can create a S.A.F.E. place for ourselves as well as   our loved ones on both sides of the glass!
 
Once a month I would like to have a meeting at which we would feature poetry, music or art in some form either from prisoners or the recently released. These meetings would allow for both fellowshipping and planning for future events to be put on by The Other Side of the Glass.
What does safe mean we do?
Support: The Other Side of the Glass has regular meetings where  one can meet others in similar situations as themselves. At these  meeting we discuss some of the troubles we may be facing and what we as a  community can do to take care of them. Often times we accept problems  as ""just being how it is"" however if many of us are facing the same  issue we can use the strength of our unity to our advantage.
Assistance:  Several forms of assistance should be available from food, clothing,  holiday gifts, utilities, and gifts to or from incarcerated loved ones.  The available programs will be determined by resource availability,  which at this time is by donation only.
Fellowship: Aside  from the regular support meetings where one can meet others in similar  situations as themselves; The Other Side of the Glass has lots of social  events. The events are created by the community for the community so,  they are always comfortable for people in all of the different rolls  that we play from child to grandparent and anyone in between.
Education:  The Other Side of the Glass seeks out trained professionals to come in  and assist us in making sure we are being and becoming the healthiest  supporters we can be for our loved ones. This is our strongest weapon  against recidivism, to keep our loved ones home once they get there.
 ","The Other Side of the Glass"
"October 1, 2012 - 7:00pm","October 1, 2012 - 10:00pm","A study group for Occupy history and theory"," Readings for Occupiers: A Study Group
The Occupy movement is the latest iteration of a global reaction to three interlocking phenomena: economic inequity, social atomization and political disempowerment. It has immediate predecessors in Tunisia, Cairo, Wisconsin, Madrid, and London. The systemic critiques and tactical approaches adopted by Occupy have a robust, if sometimes subterranean, lineage. 
This study group will focus on readings that inform the Occupy critique: analyses of wealth disparities, economic and monetary policies, the disproportionate impact of austerity on women and people of color, and the nature of the relationship between the superrich and the global 99%. We will also look at Occupy’s organizational forbears, with special attention paid to the Black Liberation Movement, the New Left, global “autonomism” and the peace movement. We will also examine Network theory, and how this has impacted the possibilities of “horizontal” social change.
 ","Occupy Study Group"
"May 18, 2011 - 8:00pm","May 18, 2011 - 9:00pm","Reading and discussion group focused on the revolutionary events of France, Chile, Iran, and Poland.","""Revolution"" is no longer a word that belongs to the past.  It is a word that belongs to us -- to the present.
If you are interested in the idea of revolution, please join this three-session discussion group centered around the book ""Revolutionary Rehearsals,"" which is a collection of essays analyzing the revolutionary events of France in 1968, Chile in 1972, Portugal in 1974, Iran in 1979, and Poland in 1980.
The next session, on May 18 at 8 pm, will focus on the chapter covering the chapter on Poland.
""Revolutionary Rehearsals"" is available at a discount from Red Emmas Bookstore and at http://www.haymarketbooks.org/pb/Revolutionary-Rehearsals.
For additional background, check out the following short video online:
http://www.youtube.com/watch?v=cbC5f2z6PmI
 
and some of assinated-president Salvador Allende's speeches: http://marxists.org/archive/allende/index.htm","Revolutionary Rehearsals"
"May 28, 2011 - 3:00pm","May 29, 2011 - 3:00am","An All Day, All Night Music Festival and Community Gathering to Benefit the Baltimore Free School"," folkYOU! Saturday, May 28th, from 3:00 pm to 3:00 am at the Baltimore Annex Building, Four West,  419 East Oliver Street
Suggested donation of $10 but no one turned away
Potluck at 6:00 pm! 
featuring!
 
The Owls Go (members of Secret Mountains)
Brendan Sullivan http://myspace.com/brendansullivanmusic
Andy Abelow http://myspace.com/andyabelow
Silent Whys http://myspace.com/silentwhys
Macgregor Burns http://myspace.com/macgregorburns)
Bean http://myspace.com/sinebean
Great TAp Root http://myspace.com/greattaproot 
Omoo Omoo http://omoo-omoo.bandcamp.com/
Applemouth http://myspace.com/applemouths
Copper Canyons (members of Infinite Honey)
Imagine Nation http://myspace.com/imaginenationstation
Tired Talk http://myspace.com/tiredtalkmusic
Homeless People http://www.myspace.com/theh0melesspe0ple
Noah Kain http://www.myspace.com/mothernaturesxson
Barrage Band Orchestra 
http://www.facebook.com/pages/Barrage-Band-Orchestra/156348833660
Ignorant (members of Mr. Moccasin)
Sea Couch http://myspace.com/seacouchseacouch
Her Fantastic Cats http://myspace.com/missesellensunday
Marian Mclaughlin http://lithiacorsica.bandcamp.com/
Armida Lowe http://armidalowe.com/
+ more TBA!
------------------------------
Folk art on display by-
Kristi Allen
Kathleen Mazurek
Holly Kent Payne
Ben Lorber
Kelsey Jo Mae Gocio
Lindsay Ann Bottos
Andy Abelow
Katie Joy Villegas
Alex Layne
and more...
----------------------------
 
 ","folkYOU! - A Festival to Benefit the Baltimore Free School at the Baltimore Annex Building!"
"June 12, 2011 - 1:30pm","June 12, 2011 - 3:30pm","Radical Childcare Orientation! Participants must RSVP!","Are you interested in radical childcare? Do you want to support parents and children in the radical community?  Then you should get involved in Kidz City Childcare Collective by becoming a volunteer!
 
Kidz City has a lot of exciting programming coming up this summer and fall.  In preparation, we’re holding a volunteer orientation for past and future volunteers. During the orientation, not only will you learn about Kidz City and radical childcare, but you’ll get an understanding of how to create a safe, inclusive space for children of all ages.  There will be snacks, games, and friendly faces.
 
If you plan on attending, please RSVP to radkidcare (at) gmail.com.  Childcare will be provided, but please let us know ahead of time if you’ll be bringing children.
 ","Kidz City Volunteer Orientation"
